id,full_name,first_name,last_name,is_active
1628961,Kostas Antetokounmpo,Kostas,Antetokounmpo,1
203145,Kent Bazemore,Kent,Bazemore,1
1627736,Malik Beasley,Malik,Beasley,1
1628972,Troy Brown Jr.,Troy,Brown Jr.,1
203076,Anthony Davis,Anthony,Davis,1
1629117,Wenyen Gabriel,Wenyen,Gabriel,1
1629060,Rui Hachimura,Rui,Hachimura,1
1627885,Shaquille Harrison,Shaquille,Harrison,1
2544,LeBron James,LeBron,James,1
1630559,Austin Reaves,Austin,Reaves,1
1626156,D'Angelo Russell,D'Angelo,Russell,1
203471,Dennis Schroder,Dennis,Schroder,1
1631306,Cole Swider,Cole,Swider,1
1629020,Jarred Vanderbilt,Jarred,Vanderbilt,1
1629022,Lonnie Walker IV,Lonnie,Walker IV,1
